Clade	Species	TaxId	Phylum	Class	Order	Family	Accession_assembly	BUSCO_Duplicate	Unified_Cvalues_methods	N_markers	dN_gccons	dS_gccons	dNdS_gccons	dNdS	dS	dN	BodyLength_cm	Source_BodyLength	BasalMetRate_mLO2hr_pantheria	AgeatFirstBirth_d_pantheria	PopulationDensity_nperkm2_pantheria	PopulationGrpSize_pantheria	MaxLongevity_y	Source_MaxLongevity	Mass_g	Source_mass	Metabolic_rate_w	Source_metabolic_rate	SexMaturity_d	Source_SexMaturity	DepthRangeShallow	DepthRangeDeep	DepthRange	BodyLenght_cm_log	MaxLongevity_y_log	Mass_g_log	Overall_repeat_bp	Overall_repeat_gsperc	dnaPT_DNA_bp	dnaPT_DNA_gsperc	dnaPT_RC_bp	dnaPT_RC_gsperc	dnaPT_LTR_bp	dnaPT_LTR_gsperc	dnaPT_PLE_bp	dnaPT_PLE_gsperc	dnaPT_LINE_bp	dnaPT_LINE_gsperc	dnaPT_SINE_bp	dnaPT_SINE_gsperc	dnaPT_Retroposon_bp	dnaPT_Retroposon_gsperc	dnaPT_Unknown_bp	dnaPT_Unknown_gsperc	dnaPT_Other_bp	dnaPT_Other_gsperc	DNA_recent_gsperc	LINE_recent_gsperc	LTR_recent_gsperc	Other_recent_gsperc	Overall_TEs_recent_gsperc	PLE_recent_gsperc	RC_recent_gsperc	Retroposon_recent_gsperc	SINE_recent_gsperc	Unknown_recent_gsperc	DNA_recent_bp	LINE_recent_bp	LTR_recent_bp	Other_recent_bp	Overall_TEs_recent_bp	PLE_recent_bp	RC_recent_bp	Retroposon_recent_bp	SINE_recent_bp	Unknown_recent_bp
Mammalia	Ondatra_zibethicus	10060	Chordata	Mammalia	Rodentia	Cricetidae	GCA_004026605.1	7.7	2718840000	657	0.006869159825542	0.052287127285869	0.131373823388426	0.169187691157216	31.0646743071666	5.2557605225804	27.826	Pantheria	841.27	365	NA	NA	10	Pantheria	992	Pantheria	4.363	AnAge	172.38	Pantheria	NA	NA	NA	3.32597083541968	2.30258509299405	6.89972310728487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia	Sigmodon_hispidus	42415	Chordata	Mammalia	Rodentia	Cricetidae	GCA_004025045.1	19	3872880000	591	0.018334477557934	0.114513306135307	0.160107835296194	0.137077186842126	89.6732109	12.2921514852727	16.749	Pantheria	159.64	65	1750	NA	5.2	Pantheria	111	Pantheria	1.085	AnAge	43.97	Pantheria	NA	NA	NA	2.81833855499633	1.64865862558738	4.70953020131233	1424889908	36.95	20404932	0.52	130144	0	381291300	9.88	478212	0.01	283582480	7.35	135523776	3.51	10393748	0.26	587260176	15.22	5793460	0.15	0.408163167560751	3.01557960055855	4.15862326113367	0	23.8441862731786	0.011039850988354	0.003256875779645	0.100891306320901	2.02790807276531	14.1152517337475	15807670	116789779	161058489	0	923456721	427560	126135	3907399	78538446	546666761
Mammalia	Onychomys_torridus	38674	Chordata	Mammalia	Rodentia	Cricetidae	GCA_903995425.1	8	2993393741.27694	696	0.008281085411962	0.048026988471906	0.172425664724036	0.140763341903235	46.7533993159517	6.58116473304977	9.495	Pantheria	29.6	121.66	157	NA	4.6	Pantheria	21.7	Pantheria	0.165	AnAge	48.51	Pantheria	NA	NA	NA	2.25076534426425	1.52605630349505	3.07731226054641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia	Peromyscus_eremicus	42410	Chordata	Mammalia	Rodentia	Cricetidae	GCA_902702925.1	8.1	3290101695.20467	652	0.005884990144403	0.031422735749693	0.187284461521167	0.151893337660969	27.1382192745776	4.12211470379083	9.157	Pantheria	29.61	NA	425	NA	7.4	AnAge	22.7	Pantheria	0.173	AnAge	44.11	Pantheria	NA	NA	NA	2.2145186141256	2.00148000021012	3.12236492448736	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia	Peromyscus_leucopus	10041	Chordata	Mammalia	Rodentia	Cricetidae	GCA_004664715.2	11.4	3001607499.4749	660	0.006235131161981	0.038827884983166	0.160583847528251	0.1241402111283	39.081512858408	4.85158725745614	9.496	Pantheria	33.91	106.45	1420	2.8	3.16666666666667	Pantheria	18.1	Pantheria	0.213	AnAge	39.31	Pantheria	NA	NA	NA	2.25087065730737	1.15267950993839	2.89591193827178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia	Mesocricetus_auratus	10036	Chordata	Mammalia	Rodentia	Cricetidae	GCA_017639785.1	7.3	3354540000	708	0.014623716882971	0.105574303802784	0.138515873240224	0.122088477721291	100.1407877	12.226036328104	18	Pantheria	NA	73.6	NA	NA	10	Pantheria	98.6	Pantheria	0.69	AnAge	44.32	Pantheria	NA	NA	NA	2.89037175789616	2.30258509299405	4.59107126160859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia	Cricetomys_gambianus	10085	Chordata	Mammalia	Rodentia	Nesomyidae	GCA_004027575.1	1.7	2907856498.46118	737	0.016240134558548	0.112063828312006	0.144918612929518	0.122416693577632	110.113480752488	13.4797282320438	36.307	Pantheria	1022.38	212.91	NA	NA	8.4	AnAge	1270	Pantheria	6.024	AnAge	155.18	Pantheria	NA	NA	NA	3.59201056014562	2.12823170584927	7.14677217945264	759377236	26.23	23615500	0.81	104364	0	163238364	5.63	553460	0.01	123840596	4.27	123000136	4.24	1289172	0.04	319170328	11.02	4541556	0.15	0.584114544213512	1.95983707695522	2.33027804182728	0	18.7665001191665	0.014685469370547	0.003334825336228	0.0109529125722	2.19712978620098	11.6634139371835	16985213	56989250	67761141	0	545702893	427032	96972	318495	63889381	339155340
Mammalia	Castor_canadensis	51338	Chordata	Mammalia	Rodentia	Castoridae	GCA_001984765.1	6.5	3053803732.95685	677	0.0204000562097	0.145518992165864	0.140188273063682	0.131270524557705	123.249437131248	16.1790182636608	75.907	Pantheria	NA	NA	0.6	NA	15	Pantheria	18100	Pantheria	NA	NA	586.19	Pantheria	NA	NA	NA	4.32950890676294	2.70805020110221	9.80366721725392	833319356	27.47	10323696	0.34	13048	0	99660524	3.28	971188	0.03	324723128	10.7	123904544	4.08	14208	0	271412920	8.94	2266796	0.07	0.147403399650662	2.85496811939959	0.956730427867479	0	11.3285524266652	0.028401425751573	0.00047335709586	0.000113605703006	0.655315563507955	6.68234425368153	4501411	87185123	29216670	0	345951757	867324	14455	3469	20012051	204065678
Mammalia	Dipodomys_spectabilis	105255	Chordata	Mammalia	Rodentia	Heteromyidae	GCA_019054845.1	8.8	3448926405.76346	691	0.02963105193632	0.252227072483024	0.117477682489115	0.115600159438066	201.3093596	23.271394066135	14.114	Pantheria	NA	NA	403	NA	3	Pantheria	125	Pantheria	NA	NA	270.4	Pantheria	NA	NA	NA	2.64716721257864	1.09861228866811	4.8283137373023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia	Cavia_tschudii	143287	Chordata	Mammalia	Rodentia	Caviidae	GCA_004027695.1	4.9	4449900000	674	0.011357157883672	0.077842637231601	0.145898935179716	0.127179849958133	71.9116179455673	9.1457087805638	NA	NA	NA	NA	NA	NA	6.3	AnAge	1000	Pantheria	NA	NA	62	AnAge	NA	NA	NA	NA	1.84054963339749	6.90775527898214	1690950456	38.16	57303828	1.29	69712	0	281022476	6.34	216396	0	554041120	12.5	141710432	3.19	1145448	0.02	650252180	14.67	5132236	0.11	0.820714427048476	4.60112949404597	3.06477600157644	0	23.6004102148625	0.004514559760265	0.002033585477597	0.007015869897709	1.73948834582667	13.3540677708629	36520971	204745661	136379467	0	1050194654	200893	90493	312199	77405492	594242662
Mammalia	Hydrochoerus_hydrochaeris	10149	Chordata	Mammalia	Rodentia	Hydrochaeridae	GCA_004027455.1	4.2	3315577516.88072	700	0.009967451070657	0.063345964524497	0.157349424631495	0.143388222221529	61.6929278210071	8.84603924389531	NA	NA	NA	NA	NA	NA	15.1	AnAge	55000	AnAge	36.754	AnAge	456	AnAge	NA	NA	NA	NA	2.71469474382088	10.9150884642146	1261952924	38.22	37035548	1.12	32388	0	168614364	5.1	116644	0	557561384	16.88	80460696	2.43	262956	0	396761848	12.01	21075812	0.63	0.55285449336606	5.89587797648349	2.02715216725639	0	19.9093253565673	0.003881082490981	0.00102734536526	0.001683704904176	1.13795621625277	10.2866664554901	18330319	195482405	67211801	0	660109115	128680	34062	55825	37729820	341062400
Mammalia	Chinchilla_lanigera	34839	Chordata	Mammalia	Rodentia	Chinchillidae	GCA_000276665.1	5	2899562574.25548	704	0.010129754103617	0.061860313130954	0.1637520664044	0.130910696176912	63.0634379676069	8.25567856764894	30.5	Pantheria	282.1	NA	944	100	11.3	Pantheria	480	Pantheria	1.31	AnAge	194.32	Pantheria	NA	NA	NA	3.41772668361337	2.42480272571829	6.17378610390194	623172224	21.72	14117036	0.49	158928	0	92245924	3.21	1380	0	240600788	8.38	60228812	2.1	9756784	0.34	204770876	7.13	1290908	0.04	0.070288610872481	2.31967640849051	0.608288295969354	0	9.33246246505711	1.26874748867294E-05	0.005163802278899	0.160991368837709	0.353802924691336	5.81408611674329	2038062	67260469	17637700	0	270600589	368	149728	4668045	10258737	168583065
Mammalia	Dinomys_branickii	108858	Chordata	Mammalia	Rodentia	Dinomyidae	GCA_004027595.1	6.9	3259870560.53802	652	0.013793686812264	0.085271910811635	0.161761202264297	0.140942500280462	78.424594559	11.053358440627	74.999	Pantheria	NA	NA	NA	NA	9.4	Pantheria	12500	Pantheria	NA	NA	NA	NA	NA	NA	NA	4.31747478011409	2.24070968927596	9.43348392329039	1098827444	33.85	45518236	1.4	38708	0	157678300	4.85	2718156	0.08	338607264	10.43	82981476	2.55	9210076	0.28	444631640	13.69	17412700	0.53	0.782082219492811	4.06953254822628	2.10296943862438	0	22.0297955350047	0.09239216819594	0.001791778050719	0.125973556823929	1.31559858391735	13.5371432699949	25494868	132661493	68554082	0	718142819	3011865	58410	4106575	42886811	441293348
Mammalia	Erethizon_dorsatum	34844	Chordata	Mammalia	Rodentia	Erethizontidae	GCA_006547115.1	5.7	2954848042.69854	715	0.01023512915222	0.053504614479351	0.191294325766431	0.153980997739686	59.83492152	9.21344091532542	83.749	Pantheria	NA	NA	3.5	NA	18	Pantheria	7420	Pantheria	NA	NA	661.25	Pantheria	NA	NA	NA	4.42782423033538	2.89037175789616	8.91193433616143	659167380	22.46	31293360	1.06	32516	0	111984804	3.81	2196004	0.07	199868772	6.81	110362272	3.76	18300	0	191312480	6.52	12088576	0.41	0.249409513777627	2.22503646171756	1.27875592292212	0	9.95126044560062	0.058311778651802	0.001020985883233	9.63194229464844E-05	1.16296071265585	4.97410837591775	7369672	65746446	37785294	0	294044625	1723024	30169	2846	34363722	146977344
Mammalia	Hystrix_cristata	10137	Chordata	Mammalia	Rodentia	Hystricidae	GCA_004026905.1	5.2	2996447684.31355	660	0.016189423241587	0.109613814827785	0.147695099080547	0.140200297034161	95.68312106	13.4148019937676	NA	NA	NA	NA	NA	NA	28	AnAge	13400	Pantheria	NA	NA	NA	NA	NA	NA	NA	NA	3.3322045101752	9.503009985939	867554636	29.07	46986900	1.57	90244	0	112875700	3.78	187832	0	214274440	7.18	81609172	2.73	20740	0	409003980	13.7	2430784	0.08	0.738139336740381	3.0087476733693	1.59021677556087	0	19.4945619063179	0.006626793929612	0.003084360308253	0.000458073313107	1.12676873558023	13.013771210703	22117959	90155550	47650014	0	584144349	198568	92421	13726	33763036	389950846
Mammalia	Ctenodactylus_gundi	10166	Chordata	Mammalia	Rodentia	Ctenodactylidae	GCA_004027205.1	2.8	2816779563.62612	731	0.028117409754957	0.237285191736867	0.11849626834757	0.115201533846541	208.0466301	23.967290899124	20.799	Pantheria	NA	NA	NA	NA	5.8	AnAge	289	Pantheria	NA	NA	181.43	Pantheria	NA	NA	NA	3.03490490862846	1.75785791755237	5.66642668811243	718283508	25.61	23946588	0.85	120728	0	111233288	3.96	126332	0	163212036	5.81	136672420	4.87	24348	0	279415748	9.96	3494004	0.12	0.66525986590425	2.67886244107832	1.99584524403857	0	19.922478253834	0.00584252299837	0.003905956386551	0.000689286421156	2.39911062357773	12.1684655401101	18738904	75457650	56218561	0	561172296	164571	110022	19416	67577658	342758851
Mammalia	Cynomys_gunnisoni	45479	Chordata	Mammalia	Rodentia	Sciuridae	GCA_011316645.1	9.9	3242693488.64135	682	0.003580649538653	0.015668602714304	0.228523857802818	0.195728463428671	13.3266615744063	2.60840699259245	27.964	Pantheria	NA	NA	669	75	NA	NA	798	Pantheria	NA	NA	340.31	Pantheria	NA	NA	NA	3.33091796864974	NA	6.68210859744981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia	Urocitellus_parryii	9999	Chordata	Mammalia	Rodentia	Sciuridae	GCA_003426925.1	5.5	3056464899.47053	709	0.002670311391349	0.012615954245538	0.211661467644701	0.177187371495704	11.1836336473232	1.98159864974011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1031216156	33.97	13004576	0.42	57976	0	108805092	3.58	72244	0	227534308	7.49	94447280	3.11	155820	0	579267772	19.08	7856832	0.25	0.249700223469777	2.56168886224209	1.52002219557542	0	20.6668097418288	0.001589724023909	0.001778976883899	0.001438321735918	0.691946306692587	15.6363551715994	7632000	78297121	46458945	0	631673786	48589	54374	43962	21149096	477919707
Mammalia	Marmota_flaviventris	93162	Chordata	Mammalia	Rodentia	Sciuridae	GCA_003676075.2	7.9	3130113906.40738	708	0.001047650771965	0.00470571073759	0.222633908114236	0.191536740481899	4.01856257294606	0.769702376644642	41.257	Pantheria	1546.2	730	6.9	NA	8	Pantheria	3710	Pantheria	8.626	AnAge	698.59	Pantheria	NA	NA	NA	3.71982079535348	2.07944154167984	8.21878715560148	660818388	21.25	5582292	0.17	19472	0	117790104	3.78	145748	0	230155548	7.4	93124928	2.99	212604	0	132360508	4.25	81417680	2.61	0.066209421448065	2.82354407762149	1.8266887033783	0	8.16453546855806	0.002335072625355	0.000404500769747	0.001654775876236	0.449363582391199	2.9055474154883	2072430	88380146	57177437	0	255559260	73090	12661	51796	14065592	90946944
Mammalia	Marmota_himalayana	93163	Chordata	Mammalia	Rodentia	Sciuridae	GCA_005280165.1	6.4	2997399895.75405	689	0.001925653898696	0.006142902989436	0.313476202050892	0.29211637094516	6.18097831576063	1.80556495449072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	636411492	21.42	6537160	0.22	14452	0	138853328	4.67	101008	0	258005180	8.68	93255044	3.13	175484	0	105216448	3.54	34247844	1.15	0.072295182484093	3.27671571647398	2.17344865372459	0	7.98329540922675	0.001983086893473	0.000408282595715	0.00192476080837	0.404389329534361	2.02828960942666	2166976	98216273	65146948	0	239291288	59441	12238	57693	12121165	60795951
Mammalia	Marmota_monax	9995	Chordata	Mammalia	Rodentia	Sciuridae	GCA_014533835.1	9.4	3318473446.88836	693	0.001341463398233	0.006540276580758	0.205108053408643	0.186542709558425	5.1431251192636	0.959412495345431	41.513	Pantheria	662.5	NA	137	NA	10	Pantheria	3880	Pantheria	3.696	AnAge	349.29	Pantheria	NA	NA	NA	3.72600663119522	2.30258509299405	8.26359043261732	904833360	27.45	14301216	0.43	50620	0	163893964	4.97	111740	0	317226524	9.62	105680788	3.2	214660	0	247031884	7.49	56297808	1.7	0.210235205067089	3.74333492835626	2.32560914513631	0	12.5202786096357	0.001867681347968	0.001054894094686	0.002109788189371	0.64166959644767	5.54213687994492	6976599	124221576	77174722	0	415482121	61979	35006	70013	21293635	183914341
Mammalia	Xerus_inauris	234690	Chordata	Mammalia	Rodentia	Sciuridae	GCA_004024805.1	7.1	3154396234.32785	623	0.011981792650023	0.065433087622767	0.183115195772199	0.151934911036758	58.231452552687	8.84739056313368	24.699	Pantheria	310.21	NA	NA	NA	13	Pantheria	572	Pantheria	1.775	AnAge	304.68	Pantheria	NA	NA	NA	3.2067627569844	2.56494935746154	6.3491389913798	889323020	28.31	28458928	0.9	120184	0	146991184	4.68	128288	0	269224012	8.57	108250888	3.44	77052	0	333537076	10.61	2479176	0.07	0.581408664430803	2.89697195344033	1.94988158067049	0	16.8720971408471	0.003934587194269	0.003963949785271	0.00058725182004	1.44138022969768	9.98747979119674	18339933	91381974	61506991	0	532212797	124112	125039	18524	45466844	315044686
Mammalia	Sciurus_vulgaris	55149	Chordata	Mammalia	Rodentia	Sciuridae	GCA_902686455.2	15.8	3489885728.72928	648	0.011886217424666	0.074350490527814	0.159867370615658	0.139487088000321	62.6944852585163	8.7450711823895	21.349	Pantheria	NA	273.75	60.1	NA	12	Pantheria	333	Pantheria	NA	NA	313.67	Pantheria	NA	NA	NA	3.06100490017019	2.484906649788	5.80814248998044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia	Sylvilagus_bachmani	365149	Chordata	Mammalia	Lagomorpha	Leporidae	GCA_015711505.1	10.2	3257232276.46629	649	0.031942496584276	0.269522446511327	0.118515162643174	0.107857090908847	212.760205	22.94769677247	30.407	Pantheria	NA	NA	568	NA	NA	NA	717	Pantheria	NA	NA	154	AnAge	NA	NA	NA	3.41467284506358	NA	6.57507584059962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
