Clade	Species	TaxId	Phylum	Class	Order	Family	Accession_assembly	BUSCO_Duplicate	Unified_Cvalues_methods	n_markers	dS_sum	dN_sum	dS_ratesmean	dN_ratesmean	dNdS_ratesmean	BodyLength_cm	Source_BodyLength	BasalMetRate_mLO2hr_pantheria	AgeatFirstBirth_d_pantheria	PopulationDensity_nperkm2_pantheria	PopulationGrpSize_pantheria	MaxLongevity_y	Source_MaxLongevity	Mass_g	Source_mass	Metabolic_rate_w	Source_metabolic_rate	SexMaturity_d	Source_SexMaturity	DepthRangeShallow	DepthRangeDeep	DepthRange	BodyLenght_cm_log	MaxLongevity_y_log	Mass_g_log	Overall_repeat_bp	Overall_repeat_gsperc	dnaPT_DNA_bp	dnaPT_DNA_gsperc	dnaPT_RC_bp	dnaPT_RC_gsperc	dnaPT_LTR_bp	dnaPT_LTR_gsperc	dnaPT_PLE_bp	dnaPT_PLE_gsperc	dnaPT_LINE_bp	dnaPT_LINE_gsperc	dnaPT_SINE_bp	dnaPT_SINE_gsperc	dnaPT_Retroposon_bp	dnaPT_Retroposon_gsperc	dnaPT_Unknown_bp	dnaPT_Unknown_gsperc	dnaPT_Other_bp	dnaPT_Other_gsperc	DNA_recent_gsperc	LINE_recent_gsperc	LTR_recent_gsperc	Other_recent_gsperc	Overall_TEs_recent_gsperc	PLE_recent_gsperc	RC_recent_gsperc	Retroposon_recent_gsperc	SINE_recent_gsperc	Unknown_recent_gsperc	DNA_recent_bp	LINE_recent_bp	LTR_recent_bp	Other_recent_bp	Overall_TEs_recent_bp	PLE_recent_bp	RC_recent_bp	Retroposon_recent_bp	SINE_recent_bp	Unknown_recent_bp	n_markers_phylter_noshortbr	dN_CM_phylter_noshortbr	dS_CM_phylter_noshortbr	dNdS_CM_phylter_noshortbr	n_markers_phylter_noshortbr_gcpoor	dN_CM_phylter_noshortbr_gcpoor	dS_CM_phylter_noshortbr_gcpoor	dNdS_CM_phylter_noshortbr_gcpoor	n_markers_phylter_noshortbr_gcrich	dN_CM_phylter_noshortbr_gcrich	dS_CM_phylter_noshortbr_gcrich	dNdS_CM_phylter_noshortbr_gcrich	brlen_coevol_gcpoor	dS_coevol_gcpoor	dNdS_coevol_gcpoor	brlen_coevol_gcrich	dS_coevol_gcrich	dNdS_coevol_gcrich
Actinopteri	Triplophysa_dalaica	1582913	Chordata	Actinopteri	Cypriniformes	Nemacheilidae	GCA_015846415.1	2.3	741615690.507837	894	60.388512570594	8.79721234376193	0.067548671779188	0.009840282263716	0.145676917169934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	224396044	30.46	53323948	7.24	2695788	0.36	19866244	2.69	144280	0.01	16576068	2.25	1022788	0.13	317888	0.04	127724292	17.34	2724748	0.36	2.4462317499086	1.42344879084637	1.74329695630868	NA	15.7322205023296	0.011823181213587	0.260109986698921	0.031113634772598	0.034925055032242	9.78127114754863	18141638	10556520	12928564	NA	116672616	87683	1929016	230744	259010	72539442	781	0.197309660746497	0.197309660746497	0.146840345093337	49	0.203904831529687	0.203904831529687	0.197695553556795	49	0.213395406645917	0.213395406645917	0.0993773696447143	0.0919132	0.682731	0.220295	0.0998559	0.618238	0.112987
Actinopteri	Triplophysa_siluroides	422203	Chordata	Actinopteri	Cypriniformes	Nemacheilidae	GCA_006030095.1	2.5	1075800000	898	47.77698003665	7.76990080205436	0.053203763960635	0.008652450781798	0.162628546134436	50	FishBase	NA	NA	NA	NA	NA	NA	1500	FishBase	NA	NA	NA	NA	NA	NA	NA	3.91202300542815	NA	7.3132203870903	318956196	29.97	64799964	6.08	3408968	0.32	29787596	2.79	54408	NA	18150892	1.7	1652880	0.15	257528	0.02	195979176	18.41	4864784	0.45	1.95569114609421	1.12665940880133	1.89960136933566	NA	16.5941225089033	0.002449184594008	0.244263043805219	0.016281903216504	0.045327162767979	11.3038492902884	21039325	12120602	20435912	NA	178519570	26348	2627782	175161	487630	121606811	780	0.146812233344703	0.146812233344703	0.165187631917929	48	0.122074709896601	0.122074709896601	0.199628870840284	49	0.144606414853303	0.144606414853303	0.118521132970796	0.0919132	0.428108	0.213797	0.0998559	0.403588	0.137828
Actinopteri	Myxocyprinus_asiaticus	70543	Chordata	Actinopteri	Cypriniformes	Catostomidae	GCA_019703515.1	61.2	2689500000	357	82.5106021	9.3872036918	0.231122134733894	0.026294688212325	0.113769666599003	60	FishBase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.0943445622221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325	0.691689612327012	0.691689612327012	0.11206818823166	26	0.668704753849429	0.668704753849429	0.151981985565301	15	0.815780141195379	0.815780141195379	0.0885288660509472	NA	NA	NA	NA	NA	NA
Actinopteri	Carassius_auratus	7957	Chordata	Actinopteri	Cypriniformes	Cyprinidae	GCA_003368295.1	64.6	2209393072.89259	334	56.5916149	7.04985206561	0.169435972754491	0.021107341513802	0.12457414544659	48	FishBase	NA	NA	NA	NA	41	AnAge	NA	NA	NA	NA	NA	NA	0	20	20	3.87120101090789	3.71357206670431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	302	0.462305593412885	0.462305593412885	0.124917992766745	23	0.488878419635897	0.488878419635897	0.167092470791945	9	0.438596746968012	0.438596746968012	0.0814414749974962	NA	NA	NA	NA	NA	NA
Actinopteri	Oxygymnocypris_stewartii	361644	Chordata	Actinopteri	Cypriniformes	Cyprinidae	GCA_003573665.1	50.3	2243995620.56499	450	68.9124026	8.990136063461	0.153138672444444	0.019978080141024	0.1304574463271	67.5999984741211	FishBase	NA	NA	NA	NA	NA	NA	2968.10009765625	FishBase	NA	NA	NA	NA	NA	NA	NA	4.21360796047674	NA	7.995677329344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	394	0.441903242464475	0.441903242464475	0.13288858748379	24	0.4323956266467	0.4323956266467	0.176243803553604	28	0.528409562891008	0.528409562891008	0.0989796186297116	NA	NA	NA	NA	NA	NA
Actinopteri	Danio_aesculapii	1142201	Chordata	Actinopteri	Cypriniformes	Danionidae	GCA_903798145.1	1.8	1677878640.23787	887	60.838306707526	5.88366046794824	0.068588846344449	0.006633213605353	0.096709799900141	2.96000003814697	FishBase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.08518928122346	NA	NA	682634992	40.97	374537196	22.48	14740576	0.88	50267312	3.01	334280	0.02	38137044	2.28	18894992	1.13	957532	0.05	41796060	2.5	142970000	8.58	4.71324769148924	1.33098966194097	2.00470624336048	NA	10.0359388888796	0.013741830365109	0.262495643139341	0.011373699404132	0.154262052035509	1.54512206714485	79082576	22332391	33636538	NA	168390875	230571	4404358	190837	2588330	25925273	767	0.205859585585944	0.205859585585944	0.095251616011485	47	0.18278679643148	0.18278679643148	0.123076721945329	48	0.21665387021296	0.21665387021296	0.0567663182171817	0.124008	0.532324	0.127915	0.119835	0.579729	0.0591709
Actinopteri	Danio_kyathit	242068	Chordata	Actinopteri	Cypriniformes	Danionidae	GCA_903798195.1	2.4	2073608293.23692	900	59.027441518469	6.12752057293224	0.065586046131632	0.006808356192147	0.103807998708787	3.45000004768372	FishBase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.23837424486464	NA	NA	938985184	45.6	598796380	29.08	39632940	1.92	58559788	2.84	344164	0.01	49116724	2.38	25100780	1.21	1493536	0.07	80194676	3.89	85746196	4.16	9.65610134925097	1.38883198036738	1.67824595735521	NA	16.5518844551232	0.009314786800647	1.00017864723072	0.020487067743358	0.254094272198284	2.54463039417665	200229718	28798935	34800247	NA	343221249	193152	20739787	424822	5268920	52765667	781	0.193244815096607	0.193244815096607	0.103250451517405	47	0.200990794404403	0.200990794404403	0.138459576441132	48	0.190572604530156	0.190572604530156	0.0744515580853451	0.124008	0.480413	0.146724	0.119835	0.443558	0.0780669
Actinopteri	Danionella_dracula	623740	Chordata	Actinopteri	Cypriniformes	Danionidae	GCA_900490495.1	2.9	810948989.738345	838	436.305974	37.29215141498	0.520651520286396	0.044501374003556	0.085472474908125	1.66999995708466	FishBase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.512823600730855	NA	NA	119709960	14.86	22657880	2.81	3183472	0.39	9832208	1.22	34244	NA	12732856	1.58	2498704	0.31	190580	0.02	63148180	7.84	5431836	0.67	1.15542083300528	0.756796233801846	0.847408159553008	NA	7.26490447398929	0.000950237423608	0.29341974158972	0.006108669151764	0.083620893277478	4.12117970618659	9369874	6137231	6872048	NA	58914669	7706	2379484	49538	678123	33420665	736	1.53586541338962	1.53586541338962	0.086569153371866	44	1.49123825554416	1.49123825554416	0.107940173645072	47	1.60451375869459	1.60451375869459	0.0692686037191229	0.361167	1.40564	0.107188	0.384986	1.23412	0.0706074
Actinopteri	Chanos_chanos	29144	Chordata	Actinopteri	Gonorynchiformes	Chanidae	GCA_902362185.1	4.3	800928296.866919	889	461.0498746	33.20309955423	0.518616281889764	0.037348818396209	0.072016285836834	180	FishBase	NA	NA	NA	NA	15	AnAge	7700	AnAge	NA	NA	2326.5	AnAge	1	30	29	5.19295685089021	2.70805020110221	8.94897560784178	83969476	10.55	7449588	0.93	450740	0.05	3785148	0.47	360940	0.04	6201388	0.77	645824	0.08	38364	NA	63531016	7.98	1506468	0.18	0.358675793036619	0.478067276062187	0.349508360626737	NA	6.29494638126349	0.027788779492454	0.016544350677208	0.003509407719408	0.022417237064789	5.03392308094485	2872736	3828976	2799311	NA	50418007	222568	132508	28108	179546	40318114	783	1.54017268495026	1.54017268495026	0.072488430937872	48	1.52882939110859	1.52882939110859	0.0956823923066923	48	1.75872174112676	1.75872174112676	0.0536519061757205	0.775947	0.76972	0.0792128	0.776364	0.756641	0.0497256
Actinopteri	Amphilophus_citrinellus	61819	Chordata	Actinopteri	Cichliformes	Cichlidae	GCA_013435755.1	2.9	1169233126.54549	900	104.684712076692	13.1700799025986	0.11631634675188	0.014633422113998	0.125807098680753	24.3999996185303	FishBase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.19458311666515	NA	NA	208314184	17.96	37399212	3.22	2942352	0.25	3615740	0.31	122152	0.01	24491376	2.11	1946388	0.16	199552	0.01	131744020	11.35	5853392	0.5	0.755303668923159	0.774027026611106	0.156840181180546	NA	6.49897149774892	0.003633528318437	0.131106251207614	0.006412108797242	0.041678707182075	4.62997002552874	8831261	9050180	1833827	NA	75988128	42484	1532938	74973	487321	54135143	796	0.342995707773765	0.342995707773765	0.130228029280441	46	0.302127731849987	0.302127731849987	0.173693601496373	50	0.410765608661666	0.410765608661666	0.0921795792108546	0.249585	0.409384	0.184232	0.267745	0.449525	0.106698
Actinopteri	Astatotilapia_calliptera	8154	Chordata	Actinopteri	Cichliformes	Cichlidae	GCA_900246225.5	2.4	1071456373.44014	904	12.4144257242567	1.97136501362703	0.013732771818868	0.002180713510649	0.15879631143752	15	FishBase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.70805020110221	NA	NA	272080688	25.57	40951644	3.84	3876548	0.36	9781276	0.91	54356	NA	32289364	3.03	3746972	0.35	1085548	0.1	177813112	16.71	2481868	0.23	2.54178406150002	2.58502360645427	0.792547924714321	NA	19.6446708057641	0.00302783054348	0.321640595452092	0.072986652048088	0.19553410930787	13.132126025744	27234107	27697400	8491805	NA	210484077	32442	3446239	782020	2095063	140705001	697	0.033687171413671	0.033687171413671	0.180887656680251	38	0.0384554575608735	0.0384554575608735	0.261967780131842	40	0.033376637919422	0.033376637919422	0.117016969053273	0.0201916	0.512101	0.27014	0.016648	0.539545	0.1483
Actinopteri	Simochromis_diagramma	43689	Chordata	Actinopteri	Cichliformes	Cichlidae	GCA_900408965.1	2.2	1033188104.80252	902	8.74819939856913	1.62236055355232	0.009698668956285	0.001798625890856	0.185450797316952	19.5	FishBase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.9704144655697	NA	NA	249318764	24.3	30804544	3	1797840	0.17	6238640	0.6	201676	0.01	25919480	2.52	2610464	0.25	910912	0.08	177243820	17.27	3591388	0.35	1.74942990739371	1.97932224051442	0.410946869388087	NA	16.9731806829325	0.009985828853807	0.157863403683407	0.061442859504845	0.160155233256412	12.4440343403378	18074902	20450122	4245854	NA	175364884	103172	1631026	634820	1654705	128570283	674	0.030055065498549	0.030055065498549	0.182470741412597	32	0.0271884485941212	0.0271884485941212	0.303069520916196	43	0.0337565765180121	0.0337565765180121	0.142537298603543	0.0201916	0.397155	0.277402	0.016648	0.476386	0.14945
Actinopteri	Oreochromis_aureus	47969	Chordata	Actinopteri	Cichliformes	Cichlidae	GCA_013358895.1	1.5	1183380000	923	5.09358890901792	0.889377872425874	0.005518514527647	0.000963572992877	0.174607312900984	45.7000007629395	FishBase	NA	NA	NA	NA	NA	NA	2010	FishBase	NA	NA	NA	NA	5	NA	NA	3.82209831459468	NA	7.60589000105312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	575	0.020456412333507	0.020456412333507	0.186172875757346	28	0.0253100410272944	0.0253100410272944	0.165894898024546	34	0.0236503189855235	0.0236503189855235	0.145728591970379	0.0193867	0.313556	0.200167	0.0192501	0.35471	0.154503
Actinopteri	Oreochromis_niloticus	8128	Chordata	Actinopteri	Cichliformes	Cichlidae	GCA_001858045.3	1.8	1223032861.73122	921	5.71386613275229	0.947910861065012	0.006203980600165	0.001029219175966	0.165896581936269	60	FishBase	NA	NA	NA	NA	9	AnAge	2400	AnAge	NA	NA	NA	NA	0	20	20	4.0943445622221	2.19722457733622	7.78322401633604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	590	0.022520884430841	0.022520884430841	0.173155010263022	34	0.0249051030291834	0.0249051030291834	0.159814924628038	36	0.027118416026707	0.027118416026707	0.142194213574209	0.0193867	0.342518	0.198843	0.0192501	0.373913	0.148734
Actinopteri	Aphyosemion_australe	52653	Chordata	Actinopteri	Cyprinodontiformes	Nothobranchiidae	GCA_006937985.1	2.1	1056815453.38305	906	185.06545	21.12724329299	0.204266501103753	0.02331925308277	0.114160926812595	6	FishBase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.79175946922805	NA	NA	514444504	48.89	39847960	3.78	2817712	0.26	13198768	1.25	55360	NA	40296640	3.82	1176096	0.11	199452	0.01	415086388	39.45	1766128	0.16	2.09458610995552	2.35555513792918	0.967336586832639	NA	32.8300745662404	0.00452744958514	0.191007118346678	0.008029816245343	0.065861577927231	27.1430853458416	22135910	24893871	10222963	NA	346953301	47847	2018593	84860	696035	286852320	799	0.608377891955296	0.608377891955296	0.114849323312058	50	0.603184525116638	0.603184525116638	0.151227097291589	47	0.627986153765865	0.627986153765865	0.0752738081215611	0.179899	1.10075	0.157325	0.197334	0.959123	0.083543
