Phylum	SubPhylum	Class	Order	Family	Species	Accession_assembly	Assembly_size	Reads_assembly	Cvalue	Chromnum	Method	Celltype	Stdsp	Date	Reference	Notes
Chordata	Vertebrata	Amphibia	Anura	Bufonidae	Bufo bufo	GCA_905171765.1	5044744194		6454800000		FCM	RBC	RT	2005	Borkin, L.J., S.N. Litvinchuk, J.M. Rosanov, G. Dzukic, and M.L. Kalezic (2005). Genome size variation in the Balkan anurans. In: Herpetologica Petropolitana.  Russian Journal of Herpetology, vol. 12 supplement, edited by N. Ananjeva and O. Tsinenko. Soc.	most recent
Chordata	Vertebrata	Amphibia	Anura	Pipidae	Xenopus laevis	GCA_017654675.1	2742469346	LR	3511020000		FCM	RBC	HS, RT	1998	Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.	one measure
Chordata	Vertebrata	Amphibia	Anura	Ranidae	Rana temporaria	GCA_905171775.1	4111422596		4801980000		FCM	RBC	HS, RT	1998	Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.	one measure
Chordata	Vertebrata	Mammalia	Artiodactyla	Bovidae	Aepyceros melampus	GCA_006408695.1	2631303056	SR	4586820000		FCM	LK	HS, OM	2005	Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.	one measure
Chordata	Vertebrata	Mammalia	Artiodactyla	Bovidae	Bos taurus	GCA_002263795.2	2715853792	LR-SR	3618600000	60	FCM	SP	HS, RT	1998	Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.	most recent
Chordata	Vertebrata	Mammalia	Artiodactyla	Bovidae	Litocranius walleri	GCA_006410535.1	2979336167	SR	3579480000		FCM	LK	HS, OM	2005	Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.	one measure
Chordata	Vertebrata	Mammalia	Artiodactyla	Camelidae	Camelus bactrianus	GCA_000767855.1	1992663268	SR	2356980000		FCM	LK	HS, OM	2005	Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.	one measure
Chordata	Vertebrata	Mammalia	Artiodactyla	Camelidae	Camelus dromedarius	GCA_000803125.3	2169363382	LR-SR	2562360000		FCM	LK	HS, OM	2005	Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.	one measure
Chordata	Vertebrata	Mammalia	Artiodactyla	Cervidae	Muntiacus muntjak	GCA_008782695.1	2573529099	SR	3364320000	6	FCM	LK	HS	1988	Kent, M., R. Chandler, and S. Wachtel (1988). DNA analysis by flow cytometry. Cytogenetics and Cell Genetics 47: 88-89.	one measure
Chordata	Vertebrata	Mammalia	Artiodactyla	Cervidae	Muntiacus reevesi	GCA_008787405.2	2579575442	SR	2787300000	46	FCM	S	BO	1982	Johnston, F.P., R.B. Church, and C.C. Lin (1982). Chromosome rearrangement between the Indian muntjac and Chinese muntjac is accompanied by a deletion of middle repetitive DNA. Canadian Journal of Biochemistry 60: 497-506.	one measure
Chordata	Vertebrata	Mammalia	Artiodactyla	Delphinidae	Tursiops truncatus	GCA_011762595.1	2378522213	LR-SR	3198060000		FCM	LK	GD	2006	Du, B. and D. Wang (2006). C-values of seven marine mammal species determined by flow cytometry. Zoological Science 23: 1017-1020.	one measure
Chordata	Vertebrata	Mammalia	Artiodactyla	Monodontidae	Delphinapterus leucas	GCA_002288925.3	2362774659	SR	3217620000		FCM	LK	GD	2006	Du, B. and D. Wang (2006). C-values of seven marine mammal species determined by flow cytometry. Zoological Science 23: 1017-1020.	one measure
Chordata	Vertebrata	Actinopteri	Beloniformes	Adrianichthyidae	Oryzias latipes	GCA_002234675.1	734057086	LR	1066020000		FCM	FC	GD, OM	2000	Lamatsch, D.K., C. Steinlein, M. Schmid, and M. Schartl (2000). Noninvasive determination of genome size and ploidy level in fishes by flow cytometry: detection of triploid Poecilia formosa. Cytometry 39: 91-95.	most recent
Arthropoda	Hexapoda	Insecta	Blattodea	Blattidae	Periplaneta americana	GCA_002939525.1	3374840130	SR	3334980000		FCM	BR	DV	2011	Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19	one measure
Arthropoda	Hexapoda	Insecta	Blattodea	Rhinotermitidae	Coptotermes formosanus	GCA_013340265.1	875711502	SR	909540000		FCM	BR	DM	2011	Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19	one measure
Chordata	Vertebrata	Aves	Bucerotiformes	Bucorvidae	Bucorvus abyssinicus	GCA_009769605.1	1132597561	LR-SR	1398540000	90	FCM	RBC	GD, HS, V	1991	Tiersch, T.R. and S.S. Wachtel (1991). On the evolution of genome size of birds. Journal of Heredity 82: 363-368.	one measure
Chordata	Vertebrata	Actinopteri	Carangiformes	Carangidae	Seriola quinqueradiata	GCA_002217815.1	639269536	LR-SR	811740000	48	FCM	RBC	MM	1990	Ojima, Y. and K. Yamamoto (1990). Cellular DNA contents of fishes determined by flow cytometry. La Kromosomo II 57: 1871-1888.	one measure
Chordata	Vertebrata	Mammalia	Carnivora	Canidae	Canis lupus	GCA_905319855.2	2447463909		2748180000	78	FCM	EP	HS, GD	1988	Wurster-Hill, D.H., O.G. Ward, B.H. Davis, J.P. Park, R.K. Moyzis, and J. Meyne (1988). Fragile sites, telomeric DNA sequences, B chromosomes, and DNA content in raccoon dogs, Nyctereutes procyonoides, with comparative notes on foxes, coyote, wolf, and ra	one measure
Chordata	Vertebrata	Mammalia	Carnivora	Canidae	Lycaon pictus	GCA_004216515.1	2137698293	SR	2669940000		FCM	LK	HS, OM	2005	Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.	one measure
Chordata	Vertebrata	Mammalia	Carnivora	Canidae	Vulpes vulpes	GCA_003160815.1	2421568072	SR	2787300000	34	FCM	EP	HS, GD	1988	Wurster-Hill, D.H., O.G. Ward, B.H. Davis, J.P. Park, R.K. Moyzis, and J. Meyne (1988). Fragile sites, telomeric DNA sequences, B chromosomes, and DNA content in raccoon dogs, Nyctereutes procyonoides, with comparative notes on foxes, coyote, wolf, and ra	one measure
Chordata	Vertebrata	Mammalia	Carnivora	Felidae	Felis catus	GCA_000181335.5	2521710482		2845980000	38	FCM	SP	HS, RT	1998	Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.	most recent
Chordata	Vertebrata	Mammalia	Carnivora	Felidae	Panthera leo	GCA_018350215.1	2297568983	LR	2885100000		FCM	LK	HS, OM	2005	Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.	one measure
Chordata	Vertebrata	Mammalia	Carnivora	Felidae	Panthera tigris	GCA_018350195.2	2408695688	LR	2650380000		FCM	LK	HS, OM	2005	Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.	one measure
Chordata	Vertebrata	Mammalia	Carnivora	Otariidae	Zalophus californianus	GCA_009762305.2	2409685272	LR-SR	3080700000		FCM	LK	GD	2006	Du, B. and D. Wang (2006). C-values of seven marine mammal species determined by flow cytometry. Zoological Science 23: 1017-1020.	one measure
Chordata	Vertebrata	Aves	Casuariiformes	Dromaiidae	Dromaius novaehollandiae	GCA_003342905.1	1192254075	SR	1594140000	80	FCM	RBC	GD, HS, V	1990	Nakamura, D., T.R. Tiersch, M. Douglass, and R.W. Chandler (1990). Rapid identification of sex in birds by flow cytometry. Cytogenetics and Cell Genetics 53: 201-205.	one measure
Chordata	Vertebrata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus salmoides	GCA_014851395.1	963613914	LR	997560000		FCM	RBC	GD	1994	Peterson, D.G., S.M. Stack, J.L. Healy, B.S. Donohoe, and L.K. Anderson (1994). The relationship between synaptonemal complex length and genome size in four vertebrate classes (Osteichthyes, Reptilia, Aves, Mammalia). Chromosome Research 2: 153-162.	most recent
Chordata	Vertebrata	Actinopteri	Centrarchiformes	Sinipercidae	Siniperca chuatsi	GCA_020085105.1	718820513	LR-SR	880200000		FCM	RBC	GD	2012	Zhu, D., W. Song, K. Yang, X. Cao, Y. Gul, and W. Wang (2012). Flow cytometric determination of genome size for eight commercially important fish species in China.	one measure
Chordata	Vertebrata	Mammalia	Chiroptera	Noctilionidae	Noctilio leporinus	GCA_004026585.1	2098501394	SR	2572140000	34	FCM	SP	GD, MM	1989	Burton, D.W., J.W. Bickham, and H.H. Genoways (1989). Flow-cytometric analyses of nuclear DNA content in four families of neotropical bats. Evolution 43: 756-765.	one measure
Chordata	Vertebrata	Mammalia	Chiroptera	Phyllostomidae	Artibeus jamaicensis	GCA_014825515.1	2207618356	SR	2679720000	30	FCM	SP	GD, MM	1989	Burton, D.W., J.W. Bickham, and H.H. Genoways (1989). Flow-cytometric analyses of nuclear DNA content in four families of neotropical bats. Evolution 43: 756-765.	one measure
Chordata	Vertebrata	Mammalia	Chiroptera	Phyllostomidae	Phyllostomus discolor	GCA_004126475.3	2108832841	LR-SR	2464560000	32	FCM	SP	GD, MM	1989	Burton, D.W., J.W. Bickham, and H.H. Genoways (1989). Flow-cytometric analyses of nuclear DNA content in four families of neotropical bats. Evolution 43: 756-765.	one measure
Chordata	Vertebrata	Aves	Ciconiiformes	Ciconiidae	Ciconia maguari	GCA_017639555.1	1239437416	LR-SR	1506120000		FCM	RBC	HS, OM	2005	Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.	one measure
Arthropoda	Hexapoda	Insecta	Coleoptera	Chrysomelidae	Callosobruchus maculatus	GCA_900659725.1	1007816681		1212720000		FCM	BR	DV	2015	Armqvist, G., A. Sayadi, E. Immonen, C. Hotzy, D. Rankin, M. Tuda, C.E. Hjelmen, and J.S. Johnston (2015). Genome size correlates with reproductive fitness in seed beetles. Proceedings of the Royal Society of London B 282: 20151421.	most recent
Arthropoda	Hexapoda	Insecta	Coleoptera	Coccinellidae	Harmonia axyridis	GCA_011033045.1	417140630	LR-SR	459660000		FCM	BR	DM	2015	Matsubayashi, K.W. and I. Ohshima (2015). Genome size increase in the phytophagous ladybird beetle Henosepilachna vigintioctomaculata species complex (Coleoptera: Coccinellidae). Entomological Science 18: 134-137.	one measure
Arthropoda	Hexapoda	Insecta	Coleoptera	Tenebrionidae	Tribolium castaneum	GCA_000002335.3	165928604	SR	205380000		FCM	BR	DM	2013	Gregory, T.R.,A P. Nathwani, T.R. Bonnett, and D.P.W. Huber (2013). Sizing up arthropod genomes: an evaluation of the impact of environmental variation on genome size estimates by flow cytometry and the use of qPCR as a method of estimation. Genome 56: 50	one measure
Arthropoda	Hexapoda	Collembola	Collembola	Orchesellidae	Orchesella cincta	GCA_001718145.1	286766519	LR-SR	224940000	12	FCM	S	OM	NA	T. Janssens. Unpublished Data	one measure
Chordata	Vertebrata	Aves	Columbiformes	Columbidae	Caloenas nicobarica	GCA_013398195.1	1025545389	SR	1506120000		FCM	RBC	HS, OM	2005	Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.	one measure
Platyhelminthes		Cestoda	Cyclophyllidea	Taeniidae	Echinococcus multilocularis	GCA_000469725.3	114963228		440100000		FCM	TC	GD	2008	Spiliotis, M., S. Lechner, D. Tappe, C. Scheller, G. Krohne, and K. Brehm (2008). Transient transfection of Echinococcus multilocularis primary cells and complete in vitro regeneration of metacestode vesicles. International Journal for Parasitology 38: 10	most recent
Platyhelminthes		Cestoda	Cyclophyllidea	Taeniidae	Taenia solium	GCA_001870725.1	129810970	SR	273840000		FCM	WB	NS	2006	Anguilar-Diaz, H., R.J. Bobes, J.C. Carrero, R. Camacho-Carranza, C. Cervantes, M.A. Cevallos, G. Davila, M. Rodriguez-Dorantes, G. Escobedo, J.L. Fernandez, G. Fragoso, P. Gaytan, A. Garciarubio, V.M. Gonzalez, L. Gonzalez, M.V. Jose, L. Jiminez, J.P. La (2006).	one measure
Chordata	Vertebrata	Actinopteri	Cypriniformes	Catostomidae	Myxocyprinus asiaticus	GCA_019703515.1	2581058468	LR	2689500000		FCM	RBC	GD	2012	Zhu, D., W. Song, K. Yang, X. Cao, Y. Gul, and W. Wang (2012). Flow cytometric determination of genome size for eight commercially important fish species in China.	one measure
Chordata	Vertebrata	Actinopteri	Cypriniformes	Cyprinidae	Carassius gibelio	GCA_019843895.1	1930848899	LR	2249400000	100	FCM	RBC	GD	1999	Moreira da Costa, L., M.J. Collares-Pereira, S. Lusk, and P. Rab (1999). New data on genome size variation of Centro-European Cyprinidae (Pisces, Osteichthyes). Unpublished poster, Barcelona.	average of most recent ones
Chordata	Vertebrata	Actinopteri	Cypriniformes	Danionidae	Danio rerio	GCA_000002035.4	1373454788		1643040000		FCM	RC	HS	2002	Ciudad, J., E. Cid, A. Velasco, J.M. Lara, J. Aijon, and A. Orfao (2002). Flow cytometry measurement of the DNA contents of G0G1 diploid cells from three different teleost fish species. Cytometry 48: 20-25.	most recent
Chordata	Vertebrata	Actinopteri	Cypriniformes	Xenocyprididae	Megalobrama amblycephala	GCA_018812025.1	1109871993	LR	1320300000		FCM	RBC	GD	2012	Zhu, D., W. Song, K. Yang, X. Cao, Y. Gul, and W. Wang (2012). Flow cytometric determination of genome size for eight commercially important fish species in China.	one measure
Chordata	Vertebrata	Actinopteri	Cyprinodontiformes	Poeciliidae	Gambusia affinis	GCA_019740435.1	680166006	LR	919320000	48	FCM	FC	GD, OM	2000	Lamatsch, D.K., C. Steinlein, M. Schmid, and M. Schartl (2000). Noninvasive determination of genome size and ploidy level in fishes by flow cytometry: detection of triploid Poecilia formosa. Cytometry 39: 91-95.	most recent
Chordata	Vertebrata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia formosa	GCA_000485575.1	748923461	SR	948660000	46	FCM	FC	GD, OM	2000	Lamatsch, D.K., C. Steinlein, M. Schmid, and M. Schartl (2000). Noninvasive determination of genome size and ploidy level in fishes by flow cytometry: detection of triploid Poecilia formosa. Cytometry 39: 91-95.	one measure
Chordata	Vertebrata	Actinopteri	Cyprinodontiformes	Poeciliidae	Xiphophorus couchianus	GCA_001444195.3	688541509	LR	733500000		FCM	RBC	GD, HS, V	1989	Tiersch, T.R. and R.W. Chandler (1989). Chicken erythrocytes as an internal reference for analysis of DNA content by flow cytometry in grass carp. Transactions of the American Fisheries Society 118: 713-717.	one measure
Chordata	Vertebrata	Actinopteri	Cyprinodontiformes	Poeciliidae	Xiphophorus hellerii	GCA_003331165.2	732906125	LR-SR	978000000		FCM	FC	GD, OM	2000	Lamatsch, D.K., C. Steinlein, M. Schmid, and M. Schartl (2000). Noninvasive determination of genome size and ploidy level in fishes by flow cytometry: detection of triploid Poecilia formosa. Cytometry 39: 91-95.	most recent
Chordata	Vertebrata	Actinopteri	Cyprinodontiformes	Poeciliidae	Xiphophorus maculatus	GCA_002775205.2	704321165	LR	968220000		FCM	FC	GD, OM	2000	Lamatsch, D.K., C. Steinlein, M. Schmid, and M. Schartl (2000). Noninvasive determination of genome size and ploidy level in fishes by flow cytometry: detection of triploid Poecilia formosa. Cytometry 39: 91-95.	most recent
Chordata	Vertebrata	Mammalia	Dasyuromorphia	Dasyuridae	Sarcophilus harrisii	GCA_902635505.1	3086674442		2924220000		FCM	NS	NS	2012	Murchison, E.P., O.B. Schulz-Trieglaff, Z. Ning, L.B. Alexandrov, M.J. bauer, B. Fu, M. Hims, Z. Ding, S. Ivakhno, C. Stewart, B.L. Ng, W. Wong, B. Aken, S. White, A. Alsop, J. Becq, G.R. Bignell, R.K. Cheetham, W. Cheng, T.R. Connor, A.J. Cox, Z.-P. Feng (2012).	one measure
Arthropoda	Crustacea	Malacostraca	Decapoda	Nephropidae	Homarus americanus	GCA_018991925.1	2292076018	LR-SR	4645500000		FCM	AG	AA	1999	Deiana, A.M., A. Cau, E. Coluccia, R. Cannas, A. Milia, S. Salvadori, and A. Libertini (1999). Genome size and AT-DNA content in thirteen species of decapoda. In: Crustaceans and the Biodiversity Crisis, edited by F.R. Schram and J.C. von Vaupel Klein. Ko	one measure
Arthropoda	Crustacea	Malacostraca	Decapoda	Portunidae	Portunus trituberculatus	GCA_017591435.1	1005046021	LR-SR	2259180000		FCM	HC	GD	2016	Liu, L., Z. Cui, C. Song, Y. Liu, M. Hiu, and C. Wang (2016). Flow cytometric analysis of DNA content for four commercially important crabs in China. Acta Oceanologica Sinica 35: 7-11.	one measure
Arthropoda	Crustacea	Malacostraca	Decapoda	Varunidae	Eriocheir sinensis	GCA_013436485.1	1272135116	SR	2239620000		FCM	HC	GD	2016	Liu, L., Z. Cui, C. Song, Y. Liu, M. Hiu, and C. Wang (2016). Flow cytometric analysis of DNA content for four commercially important crabs in China. Acta Oceanologica Sinica 35: 7-11.	one measure
Arthropoda	Crustacea	Branchiopoda	Diplostraca	Daphniidae	Daphnia pulex	GCA_911175335.1	155146858		224940000		FCM	WB	GD	2013	Jalal, M., M.W. Wojewodzic, C.M.M. Laane, and D.O. Hessen (2013). Larger Daphnia at lower temperature: a role for cell size and genome size. Genome 56: 511-519.	most recent
Arthropoda	Crustacea	Branchiopoda	Diplostraca	Daphniidae	Daphnia pulicaria	GCA_017493165.1	193108097	LR-SR	249390000		FCM	WB	GD	2009	Vergilino, R., C. Belzile, and F. Dufresne (2009). Genome size evolution and polyploidy in the Daphnia pulex complex (Cladocera: Daphniidae). Biological Journal of the Linnean Society 97: 68-79.	average of most recent ones
Arthropoda	Hexapoda	Insecta	Diptera	Calliphoridae	Cochliomyia hominivorax	GCA_004302925.1	534026350	LR	440100000		FCM	BR	DV	2012	Picard, C.J., J.S. Johnston, and A.M. Tarone (2012). Genome sizes of forensically relevant Diptera. Journal of Medical Entomology 49: 192-197.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Calliphoridae	Lucilia cuprina	GCA_000699065.2	378274262	SR	616140000		FCM	BR	DV	2012	Picard, C.J., J.S. Johnston, and A.M. Tarone (2012). Genome sizes of forensically relevant Diptera. Journal of Medical Entomology 49: 192-197.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila miranda	GCA_003369915.2	287096000	LR	176040000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila kanapiae	GCA_008042475.1	152203088	SR	166260000		FCM	BR	DM	2017	Hjelmen, C.E. and J.S. Johnston (2017). The mode and tempo of genome size evolution in the subgenus Sophophora. PLOS One 12: e0173505.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila birchii	GCA_008042755.1	156593892	SR	195600000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila mayri	GCA_008042485.1	167807061	SR	254280000		FCM	BR	DM	2017	Hjelmen, C.E. and J.S. Johnston (2017). The mode and tempo of genome size evolution in the subgenus Sophophora. PLOS One 12: e0173505.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila bunnanda	GCA_008042815.1	151823105	SR	215160000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila pectinifera	GCA_008042775.1	149209000	SR	293400000		FCM	BR	DM	2017	Hjelmen, C.E. and J.S. Johnston (2017). The mode and tempo of genome size evolution in the subgenus Sophophora. PLOS One 12: e0173505.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila jambulina	GCA_008042695.1	163991206	SR	205380000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila seguyi	GCA_008042675.1	178856532	SR	215160000		FCM	BR	DM	2017	Hjelmen, C.E. and J.S. Johnston (2017). The mode and tempo of genome size evolution in the subgenus Sophophora. PLOS One 12: e0173505.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila vulcana	GCA_008042555.1	187578810	SR	224940000		FCM	BR	DM	2017	Hjelmen, C.E. and J.S. Johnston (2017). The mode and tempo of genome size evolution in the subgenus Sophophora. PLOS One 12: e0173505.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila lacteicornis	GCA_008044355.1	182681050	SR	244500000		FCM	BR	DM	2017	Hjelmen, C.E. and J.S. Johnston (2017). The mode and tempo of genome size evolution in the subgenus Sophophora. PLOS One 12: e0173505.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila rufa	GCA_008044435.1	186167886	SR	254280000		FCM	BR	DM	2017	Hjelmen, C.E. and J.S. Johnston (2017). The mode and tempo of genome size evolution in the subgenus Sophophora. PLOS One 12: e0173505.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila tani	GCA_008042535.1	180972673	SR	195600000		FCM	BR	DM	2017	Hjelmen, C.E. and J.S. Johnston (2017). The mode and tempo of genome size evolution in the subgenus Sophophora. PLOS One 12: e0173505.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila melanogaster	GCA_003401745.1	140668701	LR	176040000		FCM	BR	DV	2014	Ellis, L.L., W. Huang, A.M. Quinn, A. Ahuja, B. Alfrejd, F.E. Gomez, C.E. Hjelmen, K.L. Moore, T.F.C. Mackay, J.S. Johnston, and A.M. Tarone (2014). Intrapopulation genome size variation in D. melanogaster reflects life history variation and plasticity. P	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila mojavensis	GCA_000005175.1	193826310		166260000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila grimshawi	GCA_000005155.1	200467819		244500000		FCM	BR	MS	2016	Craddock, E.M., J.G. Gall, and M. Jonas (2016). Hawaiian Drosophila genomes: size variation and evolutionary expansions. Genetica 144: 107-124.	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila yakuba	GCA_000005975.1	165693946		166260000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila suzukii	GCF_013340165.1	268012156	LR	342300000		FCM	BR	DM	2017	Hjelmen, C.E. and J.S. Johnston (2017). The mode and tempo of genome size evolution in the subgenus Sophophora. PLOS One 12: e0173505.	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila hydei	GCA_003285905.2	153741574	LR-SR	205380000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	most recent
